typ_inond2;datentree;datsortie;id;scenario;emploi_max;hab_perm;est_ref;emploi_min;typ_inond;id_tri
;2019-04-18;;219-69241;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;283-69020;04Fai;2;3;f;2;01;FRD_TRI_LYON
;2019-04-18;;30-69112;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;122-69040;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;12-69153;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;70-01243;01For;;6;f;0;01;FRD_TRI_LYON
;2019-04-18;;108-01418;01For;35;90;f;30;01;FRD_TRI_LYON
;2019-04-18;;105-69202;01For;645;1159;f;441;01;FRD_TRI_LYON
;2019-04-18;;232-69149;02Moy;1296;3745;f;877;01;FRD_TRI_LYON
;2019-04-18;;247-69292;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;20-69029;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;32-69126;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;2-01353;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;7-01250;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;37-69204;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;108-69259;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;31-69127;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;125-69106;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;259-69123;04Fai;88974;50600;f;60145;01;FRD_TRI_LYON
;2019-04-18;;8-69259;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;309-69207;04Fai;119;214;f;92;01;FRD_TRI_LYON
;2019-04-18;;106-01276;01For;53;160;f;43;01;FRD_TRI_LYON
;2019-04-18;;127-69076;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;71-69131;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;79-69279;01For;;1;f;0;01;FRD_TRI_LYON
;2019-04-18;;251-69179;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;164-69061;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;232-69126;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;69-69091;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;216-69044;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;198-01194;02Moy;808;1258;f;511;01;FRD_TRI_LYON
;2019-04-18;;236-69176;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;276-01249;04Fai;531;51;f;282;01;FRD_TRI_LYON
;2019-04-18;;271-69131;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;129-69105;01For;3;18;f;2;01;FRD_TRI_LYON
;2019-04-18;;268-69249;04Fai;87;12;f;50;01;FRD_TRI_LYON
;2019-04-18;;282-69297;04Fai;183;15;f;89;01;FRD_TRI_LYON
;2019-04-18;;190-01339;02Moy;10;133;f;10;01;FRD_TRI_LYON
;2019-04-18;;261-69199;04Fai;54;0;f;25;01;FRD_TRI_LYON
;2019-04-18;;1-01423;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;45-69286;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;185-69136;02Moy;120;120;f;86;01;FRD_TRI_LYON
;2019-04-18;;249-69293;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;326-69092;04Fai;994;1209;f;640;01;FRD_TRI_LYON
;2019-04-18;;215-69205;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;200-01157;02Moy;17;34;f;15;01;FRD_TRI_LYON
;2019-04-18;;103-69059;01For;4;1;f;4;01;FRD_TRI_LYON
;2019-04-18;;176-01249;02Moy;286;24;f;155;01;FRD_TRI_LYON
;2019-04-18;;257-69028;04Fai;;9;f;0;01;FRD_TRI_LYON
;2019-04-18;;154-69069;02Moy;;11;f;0;01;FRD_TRI_LYON
;2019-04-18;;147-69292;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;230-69112;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;233-69190;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;107-01043;01For;1;2;f;1;01;FRD_TRI_LYON
;2019-04-18;;169-69091;02Moy;2274;2334;f;1307;01;FRD_TRI_LYON
;2019-04-18;;197-69063;02Moy;236;148;f;139;01;FRD_TRI_LYON
;2019-04-18;;256-69282;04Fai;;31;f;0;01;FRD_TRI_LYON
;2019-04-18;;137-69204;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;277-69152;04Fai;981;39;f;777;01;FRD_TRI_LYON
;2019-04-18;;33-69190;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;204-69046;04Fai;;0;f;0;01;FRD_TRI_LYON
